date,state,positive,negative,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,recovered,death,hospitalized,deathIncrease,hospitalizedIncrease,new_cases,date_string,week_number,color,change,death_change
2020-03-06,AK,0.0,8.0,,,,,,0.0,,,,1.0,2020-03-06,0,blue,,
2020-03-13,AK,1.0,59.0,,,,,,0.0,,0.0,0.0,1.0,2020-03-13,1,blue,0.0,
2020-03-20,AK,12.0,686.0,,,,,,0.0,,0.0,0.0,11.0,2020-03-20,2,blue,10.0,
2020-03-27,AK,69.0,2319.0,,3.0,,,,1.0,3.0,0.0,0.0,57.0,2020-03-27,3,blue,4.181818181818182,inf
2020-04-03,AK,157.0,5859.0,,15.0,,,,3.0,15.0,0.0,6.0,88.0,2020-04-03,4,blue,0.5438596491228069,2.0
2020-04-10,AK,246.0,7186.0,,28.0,,,55.0,7.0,28.0,0.0,1.0,89.0,2020-04-10,5,blue,0.011363636363636465,1.3333333333333335
2020-04-17,AK,309.0,9141.0,,36.0,,,128.0,9.0,36.0,0.0,1.0,63.0,2020-04-17,6,blue,-0.2921348314606742,0.2857142857142858
2020-04-24,AK,339.0,11942.0,36.0,,,,208.0,9.0,,0.0,0.0,30.0,2020-04-24,7,blue,-0.5238095238095238,0.0
2020-05-01,AK,364.0,19961.0,25.0,,,,254.0,9.0,,0.0,0.0,25.0,2020-05-01,8,blue,-0.16666666666666663,0.0
2020-05-08,AK,377.0,25096.0,16.0,,,,305.0,10.0,,0.0,0.0,13.0,2020-05-08,9,blue,-0.48,0.11111111111111116
2020-05-15,AK,385.0,25096.0,16.0,,,,305.0,12.0,,0.0,0.0,8.0,2020-05-15,10,red,-0.41733333333333333,0.11111111111111116
2020-05-22,AK,390.0,25096.0,16.0,,,,305.0,14.0,,0.0,0.0,5.0,2020-05-22,11,red,-0.42986666666666673,0.11111111111111116
2020-03-07,AL,0.0,,,,,,,,,,,1.0,2020-03-07,0,blue,,
2020-03-14,AL,6.0,22.0,,,,,,,,0.0,0.0,6.0,2020-03-14,1,blue,5.0,
2020-03-21,AL,124.0,28.0,,,,,,0.0,,0.0,0.0,118.0,2020-03-21,2,blue,18.666666666666668,
2020-03-28,AL,696.0,4184.0,,,,,,3.0,,0.0,0.0,572.0,2020-03-28,3,blue,3.8474576271186445,inf
2020-04-04,AL,1580.0,9273.0,,212.0,,,,43.0,212.0,8.0,212.0,884.0,2020-04-04,4,blue,0.5454545454545454,13.333333333333334
2020-04-11,AL,3191.0,18058.0,,402.0,,177.0,,91.0,402.0,11.0,34.0,1611.0,2020-04-11,5,blue,0.8223981900452488,1.116279069767442
2020-04-18,AL,4655.0,37883.0,,620.0,,247.0,,146.0,620.0,2.0,26.0,1464.0,2020-04-18,6,blue,-0.0912476722532588,0.6043956043956045
2020-04-25,AL,6137.0,65207.0,,839.0,,288.0,,212.0,839.0,15.0,71.0,1482.0,2020-04-25,7,blue,0.012295081967213184,0.452054794520548
2020-05-02,AL,7434.0,84775.0,,1023.0,,335.0,,288.0,1023.0,9.0,15.0,1297.0,2020-05-02,8,blue,-0.12483130904183537,0.35849056603773577
2020-05-09,AL,9567.0,115927.0,,1228.0,,459.0,,388.0,1228.0,13.0,21.0,2133.0,2020-05-09,9,blue,0.6445643793369313,0.3472222222222223
2020-05-16,AL,12747.0,115927.0,,1228.0,,459.0,,523.0,1228.0,13.0,21.0,3180.0,2020-05-16,10,red,0.49068524166117805,0.3472222222222223
2020-05-23,AL,17586.0,115927.0,,1228.0,,459.0,,705.0,1228.0,13.0,21.0,4839.0,2020-05-23,11,red,0.5214610691963287,0.3472222222222223
2020-03-06,AR,0.0,6.0,,,,,,,,,,1.0,2020-03-06,0,blue,,
2020-03-13,AR,9.0,30.0,,,,,,,,0.0,0.0,9.0,2020-03-13,1,blue,8.0,
2020-03-20,AR,96.0,351.0,,,,,,,,0.0,0.0,87.0,2020-03-20,2,blue,8.666666666666666,
2020-03-27,AR,381.0,1545.0,48.0,,,,19.0,3.0,,0.0,0.0,285.0,2020-03-27,3,blue,2.2758620689655173,
2020-04-03,AR,704.0,8995.0,71.0,105.0,,,60.0,12.0,105.0,0.0,5.0,323.0,2020-04-03,4,blue,0.1333333333333333,3.0
2020-04-10,AR,1171.0,15949.0,86.0,130.0,,43.0,312.0,23.0,130.0,2.0,0.0,467.0,2020-04-10,5,blue,0.44582043343653255,0.9166666666666667
2020-04-17,AR,1695.0,21799.0,83.0,,,,593.0,37.0,,0.0,0.0,524.0,2020-04-17,6,blue,0.12205567451820132,0.6086956521739131
2020-04-24,AR,2741.0,32837.0,101.0,291.0,,,929.0,45.0,291.0,0.0,0.0,1046.0,2020-04-24,7,blue,0.9961832061068703,0.21621621621621623
2020-05-01,AR,3321.0,46355.0,95.0,414.0,,,1973.0,64.0,414.0,3.0,12.0,580.0,2020-05-01,8,blue,-0.4455066921606119,0.4222222222222223
2020-05-08,AR,3694.0,60300.0,70.0,466.0,,,2159.0,88.0,466.0,1.0,4.0,373.0,2020-05-08,9,blue,-0.3568965517241379,0.375
2020-05-15,AR,3928.0,60300.0,70.0,466.0,,,2159.0,121.0,466.0,1.0,4.0,234.0,2020-05-15,10,red,-0.3746185798114327,0.375
2020-05-22,AR,4076.0,60300.0,70.0,466.0,,,2159.0,167.0,466.0,1.0,4.0,148.0,2020-05-22,11,red,-0.37107417419397376,0.375
2020-03-04,AZ,2.0,27.0,,,,,,,,,,1.0,2020-03-04,0,blue,,
2020-03-11,AZ,9.0,59.0,,,,,,,,0.0,0.0,7.0,2020-03-11,1,blue,6.0,
2020-03-18,AZ,28.0,148.0,,,,,,0.0,,0.0,0.0,19.0,2020-03-18,2,blue,1.7142857142857144,
2020-03-25,AZ,450.0,323.0,,,,,,6.0,,1.0,0.0,422.0,2020-03-25,3,blue,21.210526315789473,inf
2020-04-01,AZ,1413.0,19645.0,,,,,,29.0,,5.0,0.0,963.0,2020-04-01,4,blue,1.2819905213270144,3.833333333333333
2020-04-08,AZ,2726.0,31838.0,,,,,,80.0,,7.0,0.0,1313.0,2020-04-08,5,blue,0.3634475597092419,1.7586206896551726
2020-04-15,AZ,3962.0,41348.0,590.0,,286.0,,385.0,142.0,,11.0,0.0,1236.0,2020-04-15,6,blue,-0.05864432597105862,0.7749999999999999
